,url
297,https://www.goodreads.com//book/show/22916.The_Complete_Fairy_Tales_of_The_Brothers_Grimm
298,https://www.goodreads.com//book/show/45101.The_Mad_Ship
299,https://www.goodreads.com//book/show/64105.The_Last_Enchantment
300,https://www.goodreads.com//book/show/28250.The_Novice
301,https://www.goodreads.com//book/show/437786.Son_of_Avonar
302,https://www.goodreads.com//book/show/44688.Magician_s_Gambit
303,https://www.goodreads.com//book/show/45102.Ship_of_Destiny
304,https://www.goodreads.com//book/show/53450218-the-past
305,https://www.goodreads.com//book/show/43908.Shadow_of_a_Dark_Queen
306,https://www.goodreads.com//book/show/168525.The_Mabinogion_Tetralogy
307,https://www.goodreads.com//book/show/213647.The_Warrior_Heir
308,https://www.goodreads.com//book/show/14686.The_King_of_Elfland_s_Daughter
309,https://www.goodreads.com//book/show/3342764-the-magician-s-apprentice
310,https://www.goodreads.com//book/show/565335.Acacia
311,https://www.goodreads.com//book/show/587582.Queen_of_Sorcery
312,https://www.goodreads.com//book/show/13658.The_Other_Wind
313,https://www.goodreads.com//book/show/44687.Enchanters_End_Game
314,https://www.goodreads.com//book/show/19288321-fool-s-assassin
315,https://www.goodreads.com//book/show/9268487-the-daylight-war
316,https://www.goodreads.com//book/show/29587324-deep-world-fire
317,https://www.goodreads.com//book/show/28194.Inkheart
318,https://www.goodreads.com//book/show/92755.The_Riddle_Master_of_Hed
319,https://www.goodreads.com//book/show/20882143-blood-borne
320,https://www.goodreads.com//book/show/722667.The_Dream_Quest_of_Unknown_Kadath
321,https://www.goodreads.com//book/show/189783.The_Elfstones_of_Shannara
322,https://www.goodreads.com//book/show/176277.The_Time_of_the_Dark
323,https://www.goodreads.com//book/show/1166599.The_Gathering_Storm
324,https://www.goodreads.com//book/show/18666047-half-a-king
325,https://www.goodreads.com//book/show/45109.Golden_Fool
326,https://www.goodreads.com//book/show/27774758-an-ember-in-the-ashes
327,https://www.goodreads.com//book/show/5094.The_Drawing_of_the_Three
